,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
1595,26,PK,OPMJ,Moenjodaro Airport,N27.20.11',E68.8.58',27.33333333333333,68.13333333333334, Public,6499 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPMJ
1596,27,PK,OPMT,Multan Airport,N30.12.19',E71.25.15',30.2,71.41666666666667, Public,10512 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPMT
1597,28,PK,OPMF,Muzaffarabad Airport,N34.20.34',E73.30.52',34.333333333333336,73.5, Public,,,,,,,,,No,https://www.getmetar.com/OPMF
1598,29,PK,OPNH,Nawabshah Airport,N26.13.17',E68.23.40',26.216666666666665,68.38333333333334, Public,8999 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPNH
1599,30,PK,OPOR,Ormara Airport,N25.16.50',E64.35.17',25.266666666666666,64.58333333333333, Public,4995 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPOR
1600,31,PK,OPPG,Panjgur Airport,N26.57.27',E64.7.95',26.95,64.11666666666666, Public,5000 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPPG
1601,32,PK,OPPC,Parachinar Airport,N33.54.16',E70.4.29',33.9,70.06666666666666, Public,3999 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPPC
1602,33,PK,OPPI,Pasni Airport,N25.17.41',E63.20.67',25.28333333333333,63.33333333333334, Public,8999 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPPI
1603,34,PK,OPQS,Qasim Airport,N33.33.61',E73.1.99',33.55,73.01666666666667, Public,6693 x 148feet,Hard,3281 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/OPQS
1604,35,PK,OPRK,Rahim Yar Khan Sheikh Zayed Airport,N28.23.13',E70.16.79',28.38333333333333,70.26666666666667, Public,9842 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPRK
1605,36,PK,OPRT,Rawalakot Airport,N33.50.98',E73.47.89',33.833333333333336,73.78333333333333, Public,,,,,,,,,No,https://www.getmetar.com/OPRT
1606,37,PK,OPSS,Saidu Sharif Airport,N34.48.80',E72.21.13',34.8,72.35, Public,6001 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPSS
1607,38,PK,OPQT,Samungli International Airport,N30.15.13',E66.56.32',30.25,66.93333333333334, Public,12001 x 151feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPQT
1608,39,PK,OPSR,Sargodha Airport,N32.3.00',E72.40.00',32.05,72.66666666666667, Public,,,,,,,,,No,https://www.getmetar.com/OPSR
1609,40,PK,OPSW,Sawan Airport,N26.57.95',E68.52.85',26.95,68.86666666666666,Private,,,,,,,,,No,https://www.getmetar.com/OPSW
1610,41,PK,OPJA,Shahbaz Airport,N28.17.05',E68.26.98',28.28333333333333,68.43333333333334, Public,10086 x 148feet,Hard,10040 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/OPJA
1611,42,PK,OPRQ,Shorkot Airport,N30.46.00',E72.17.00',30.766666666666666,72.28333333333333, Public,,,,,,,,,No,https://www.getmetar.com/OPRQ
1612,43,PK,OPST,Sialkot International Airport,N32.32.14',E74.21.83',32.53333333333333,74.35, Public,11811 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPST
1613,44,PK,OPSB,Sibi Airport,N29.34.48',E67.50.58',29.566666666666666,67.83333333333333, Public,,,,,,,,,No,https://www.getmetar.com/OPSB
1614,45,PK,OPSD,Skardu Airport,N35.20.37',E75.32.48',35.333333333333336,75.53333333333333, Public,11944 x 98feet,Hard,6499 x 98feet,Unknown,,,,,Yes,https://www.getmetar.com/OPSD
1615,46,PK,OPSU,Sui Airport,N28.38.71',E69.10.62',28.63333333333333,69.16666666666667,Private,6000 x 100feet,Hard,4975 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/OPSU
1616,47,PK,OPTA,Tarbela Dam Airport,N33.59.50',E72.36.50',33.98333333333333,72.6, Public,5600 x 100feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPTA
1617,48,PK,OPTU,Turbat International Airport,N25.59.18',E63.1.81',25.98333333333333,63.01666666666666, Public,6001 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPTU
1618,49,PK,OPZM,Zamzama Airport,N26.44.03',E67.40.08',26.73333333333333,67.66666666666667,Private,,,,,,,,,No,https://www.getmetar.com/OPZM
1619,50,PK,OPZB,Zhob Airport,N31.21.50',E69.27.83',31.35,69.45, Public,6001 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/OPZB
1620,0,PG,YBOI,Boigu Island Airport,S9.14.00',E142.13.00',-9.233333333333333,142.21666666666667,Private,,,,,,,,,No,https://www.getmetar.com/YBOI
1621,1,PG,AYBK,Buka Airport,S5.25.25',E154.40.53',-5.416666666666668,154.66666666666666, Public,5125 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYBK
1622,2,PG,AYBU,Bulolo Airport,S7.13.27',E146.39.08',-7.216666666666668,146.65,Private,,,,,,,,,No,https://www.getmetar.com/AYBU
1623,3,PG,AYCH,Chimbu Airport,S6.1.46',E144.58.20',-6.016666666666668,144.96666666666667, Public,3330 x 89feet,Hard,,,,,,,No,https://www.getmetar.com/AYCH
1624,4,PG,AYDU,Daru Airport,S9.5.20',E143.12.49',-9.083333333333334,143.2, Public,,,,,,,,,No,https://www.getmetar.com/AYDU
1625,5,PG,AYFF,Faia Airport,S7.9.53',E143.31.74',-7.15,143.51666666666668, Public,,,,,,,,,No,https://www.getmetar.com/AYFF
1626,6,PG,AYGR,Girua Airport,S8.48.53',E148.18.39',-8.8,148.3, Public,5485 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYGR
1627,7,PG,AYGB,Gobe Airport,S6.52.67',E143.43.31',-6.866666666666667,143.71666666666667,Private,,,,,,,,,No,https://www.getmetar.com/AYGB
1628,8,PG,AYGA,Goroka Airport,S6.4.96',E145.23.48',-6.066666666666666,145.38333333333333, Public,5400 x 98feet,Hard,3983 x 59feet,Unknown,,,,,Yes,https://www.getmetar.com/AYGA
1629,9,PG,AYGN,Gurney Airport,S10.18.66',E150.20.07',-10.3,150.33333333333334, Public,5545 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYGN
1630,10,PG,AYKV,Kavieng Airport,S2.34.93',E150.48.65',-2.5666666666666664,150.8, Public,5584 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYKV
1631,11,PG,AYKM,Kerema Airport,S7.57.83',E145.46.31',-7.95,145.76666666666668, Public,3044 x 60feet,Hard,,,,,,,No,https://www.getmetar.com/AYKM
1632,12,PG,AYIQ,Kieta Airport,S6.18.37',E155.43.68',-6.3,155.71666666666667, Public,,,,,,,,,No,https://www.getmetar.com/AYIQ
1633,13,PG,AYKK,Kikori Airport,S7.25.48',E144.14.98',-7.416666666666668,144.23333333333332, Public,,,,,,,,,No,https://www.getmetar.com/AYKK
1634,14,PG,AYHK,Kimbe Hoskins Airport,S5.27.81',E150.24.42',-5.45,150.4, Public,5212 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYHK
1635,15,PG,AYKA,Kiriwina Losuia Airport,S8.30.37',E151.4.88',-8.5,151.06666666666666, Public,,,,,,,,,No,https://www.getmetar.com/AYKA
1636,16,PG,AYKI,Kiunga Airport,S6.7.49',E141.17.12',-6.116666666666666,141.28333333333333, Public,4171 x 75feet,Hard,,,,,,,Yes,https://www.getmetar.com/AYKI
