,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,weatherLink
75,CN,ZLXY,XiAn Xianyang Airport,N34.26.70',E108.45.00',34.43333333333333,108.75, Public,12470 x 197feet,Hard,9843 x 148feet,Unknown,,,,,https://www.getmetar.com/ZLXY
76,CN,ZSAM,Xiamen Gaoqi Airport,N24.32.70',E118.7.60',24.53333333333333,118.11666666666666, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSAM
77,CN,ZUXC,Xichang Qingshan Airport,N27.59.40',E102.11.00',27.98333333333333,102.18333333333334, Public,11811 x 164feet,Hard,,,,,,,https://www.getmetar.com/ZUXC
78,CN,ZLXN,Xining Caojiapu Airport,N36.31.90',E102.2.30',36.516666666666666,102.03333333333332, Public,12467 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZLXN
79,CN,ZUZY,Xinzhou Airport,N27.48.60',E107.14.70',27.8,107.23333333333332, Public,,,,,,,,,https://www.getmetar.com/ZUZY
80,CN,ZPJH,Xishuangbanna Gasa Airport,N21.58.50',E100.45.70',21.966666666666665,100.75, Public,7874 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZPJH
81,CN,ZSXZ,Xuzhou Guanyin Airport,N34.3.50',E117.33.30',34.05,117.55, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZSXZ
82,CN,ZSYN,Yancheng Nanyang Airport,N33.25.50',E120.12.10',33.416666666666664,120.2, Public,7218 x 164feet,Hard,,,,,,,https://www.getmetar.com/ZSYN
83,CN,ZSYA,Yangzhou Taizhou Airport,N32.33.70',E119.43.10',32.55,119.71666666666668, Public,,,,,,,,,https://www.getmetar.com/ZSYA
84,CN,ZYYJ,Yanji Chaoyangchuan Airport,N42.52.90',E129.27.00',42.86666666666667,129.45, Public,8531 x 147feet,Hard,,,,,,,https://www.getmetar.com/ZYYJ
85,CN,ZSYT,Yantai Penglai Airport,N37.39.70',E120.58.70',37.65,120.96666666666668, Public,10499 x 164feet,Hard,,,,,,,https://www.getmetar.com/ZSYT
86,CN,ZHYC,Yichang Sanxia Airport,N30.33.30',E111.28.90',30.55,111.46666666666668, Public,,,,,,,,,https://www.getmetar.com/ZHYC
87,CN,ZLIC,Yinchuan Hedong Airport,N38.19.20',E106.23.60',38.31666666666667,106.38333333333334, Public,10499 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZLIC
88,CN,ZSYW,Yiwu Yiwu Airport,N29.20.60',E120.2.00',29.33333333333333,120.03333333333332, Public,,,,,,,,,https://www.getmetar.com/ZSYW
89,CN,ZLYL,Yulin Yuyang Airport,N38.21.60',E109.35.60',38.35,109.58333333333331, Public,,,,,,,,,https://www.getmetar.com/ZLYL
90,CN,ZBYC,Yuncheng Zhangxiao Airport,N35.7.10',E111.2.00',35.11666666666667,111.03333333333332, Public,,,,,,,,,https://www.getmetar.com/ZBYC
91,CN,ZLYS,Yushu Airport,N32.50.18',E97.2.18',32.833333333333336,97.03333333333332, Public,,,,,,,,,https://www.getmetar.com/ZLYS
92,CN,ZGDY,Zhangjiajie Hehua Airport,N29.6.10',E110.26.70',29.1,110.43333333333334, Public,8530 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZGDY
93,CN,ZHCC,Zhengzhou Xinzhheng Airport,N34.31.10',E113.50.40',34.516666666666666,113.83333333333331, Public,11155 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZHCC
94,CN,ZSZS,Zhoushan Putuoshan Airport,N29.56.10',E122.21.80',29.93333333333333,122.35, Public,,,,,,,,,https://www.getmetar.com/ZSZS
95,CN,ZGSD,Zhuhai Jinwan Airport,N22.0.50',E113.22.70',22.0,113.36666666666666, Public,13124 x 148feet,Hard,,,,,,,https://www.getmetar.com/ZGSD
