,Unnamed: 0.1,country,icaoCodes,airFieldName,latitude,longitude,ddLatitude,ddLongitude,airportUse,runwayOneDimensions,runwayOneSurface,runwayTwoDimensions,runwayTwoSurface,runwayThreeDimensions,runwayThreeSurface,runwayFourDimensions,runwayFourSurface,capableCOneThirtyCSeventeen,weatherLink
29,29,IN,VECA,Chabua Airport,N27.27.73',E95.7.06',27.45,95.11666666666666, Public,9003 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VECA
30,30,IN,VECK,Chakulia Airport,N22.27.93',E86.42.62',22.45,86.7, Public,,,,,,,,,No,https://www.getmetar.com/VECK
31,31,IN,VILK,Chaudhary Charan Singh Airport,N26.45.71',E80.53.01',26.75,80.88333333333334, Public,8996 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VILK
32,32,IN,VOMM,Chennai International Airport,N12.59.70',E80.10.53',12.983333333333333,80.16666666666667, Public,12001 x 150feet,Hard,6841 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VOMM
33,33,IN,VABB,Chhatrapati Shivaji Maharaj Airport,N19.5.50',E72.51.97',19.08333333333333,72.85, Public,10466 x 150feet,Hard,9419 x 148feet,Unknown,,,,,Yes,https://www.getmetar.com/VABB
34,34,IN,VOCC,Cochin Airport,N9.56.70',E76.16.30',9.933333333333334,76.26666666666667,Military,6007 x 150feet,Hard,4640 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VOCC
35,35,IN,VOCI,Cochin International Airport,N10.9.21',E76.24.43',10.15,76.4, Public,11155 x 147feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOCI
36,36,IN,VYCI,Coco Island Airport,N14.8.49',E93.22.11',14.133333333333333,93.36666666666666, Public,4443 x 101feet,Hard,,,,,,,Yes,https://www.getmetar.com/VYCI
37,37,IN,VOCB,Coimbatore Airport,N11.1.61',E77.2.51',11.016666666666667,77.03333333333333, Public,9810 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOCB
38,38,IN,VECO,Cooch Behar Airport,N26.19.78',E89.28.03',26.316666666666666,89.46666666666668, Public,3704 x 98feet,Hard,,,,,,,Yes,https://www.getmetar.com/VECO
39,39,IN,VADN,Daman Airport,N20.26.03',E72.50.54',20.433333333333334,72.83333333333333, Public,,,,,,,,,No,https://www.getmetar.com/VADN
40,40,IN,VAID,Davi Ahilya Bai Holkar Airport,N22.43.39',E75.48.33',22.716666666666665,75.8, Public,9022 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VAID
41,41,IN,VIDN,Dehradun Airport,N30.11.44',E78.10.93',30.18333333333333,78.16666666666667, Public,7021 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VIDN
42,42,IN,VEMN,Dibrugarh Airport,N27.28.94',E95.1.02',27.466666666666665,95.01666666666668, Public,6001 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEMN
43,43,IN,VEMR,Dimapur Airport,N25.53.01',E93.46.28',25.88333333333333,93.76666666666668, Public,7513 x 148feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEMR
44,44,IN,VADU,Diu Airport,N20.42.83',E70.55.37',20.7,70.91666666666667, Public,,,,,,,,,No,https://www.getmetar.com/VADU
45,45,IN,VANP,Dr Baba Saheb Ambedkar International Airport,N21.5.50',E79.2.89',21.08333333333333,79.03333333333333, Public,10500 x 150feet,Hard,6358 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VANP
46,46,IN,VODG,Dundigul Airport,N17.37.80',E78.24.30',17.616666666666667,78.4, Public,8250 x 150feet,Hard,6800 x 150feet,Unknown,,,,,Yes,https://www.getmetar.com/VODG
47,47,IN,VEDG,Durgapur Airport,N23.37.47',E87.14.55',23.61666666666667,87.23333333333332, Public,,,,,,,,,No,https://www.getmetar.com/VEDG
48,48,IN,VERB,Fursatganj Airport,N26.15.03',E81.22.85',26.25,81.36666666666666, Public,,,,,,,,,No,https://www.getmetar.com/VERB
49,49,IN,VEGY,Gaya Airport,N24.44.88',E84.56.55',24.73333333333333,84.93333333333334, Public,7500 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VEGY
50,50,IN,VOGO,Goa Airport Airport,N15.22.85',E73.49.62',15.366666666666667,73.81666666666666, Public,11253 x 150feet,Hard,,,,,,,Yes,https://www.getmetar.com/VOGO
